t(s),l,r
0.002227783203125,0.0211,0.0211
0.004408359527587891,0.0211,0.0211
0.006651639938354492,0.0211,0.0211
0.008842945098876953,0.0211,0.0211
0.01111292839050293,0.0211,0.0211
0.01334238052368164,0.0211,0.0211
0.015683650970458984,0.0211,0.0211
0.017896175384521484,0.0211,0.0211
0.020110607147216797,0.0211,0.0211
0.022505760192871094,0.0211,0.0211
0.023688316345214844,0.0211,0.0211
0.024766206741333008,0.0211,0.0211
0.02580857276916504,0.0211,0.0211
0.026953935623168945,0.0211,0.0211
0.028151273727416992,0.0211,0.0211
0.029281139373779297,0.0211,0.0211
0.0304715633392334,0.0211,0.0211
0.03155326843261719,0.0211,0.0211
0.03273272514343262,0.0211,0.0211
0.033882856369018555,0.0211,0.0211
0.035858154296875,0.0211,0.0211
0.0369114875793457,0.0211,0.0211
0.038079023361206055,0.0211,0.0211
0.03919172286987305,0.0211,0.0211
0.04032611846923828,0.0211,0.0211
0.04137921333312988,0.0211,0.0211
0.04261279106140137,0.0211,0.0211
0.04370284080505371,0.0211,0.0211
0.044844627380371094,0.0211,0.0211
0.04603242874145508,0.0211,0.0211
0.04712486267089844,0.0211,0.0211
0.048242807388305664,0.0211,0.0211
0.04925084114074707,0.0211,0.0211
0.05025649070739746,0.0211,0.0211
0.05125880241394043,0.0211,0.0211
0.05226469039916992,0.0211,0.0211
0.053267478942871094,0.0211,0.0211
0.054273128509521484,0.0211,0.0211
0.05530238151550293,0.0211,0.0211
0.05630755424499512,0.0211,0.0211
0.05731034278869629,0.0211,0.0211
0.05831456184387207,0.0211,0.0211
0.05931806564331055,0.0211,0.0211
0.06032276153564453,0.0211,0.0211
0.061327457427978516,0.0211,0.0211
0.0623326301574707,0.0211,0.0211
0.0633382797241211,0.0211,0.0211
0.06434321403503418,0.0211,0.0211
0.06538200378417969,0.0211,0.0211
0.0663900375366211,0.0211,0.0211
0.0673973560333252,0.0211,0.0211
0.0684049129486084,0.0211,0.0211
0.0694112777709961,0.0211,0.0211
0.0704195499420166,0.0211,0.0211
0.07142472267150879,0.0211,0.0211
0.07243061065673828,0.0211,0.0211
0.07343697547912598,0.0211,0.0211
0.07444334030151367,0.0211,0.0211
