t(s),l,r
0.0026786327362060547,-0.0211,0.0211
0.005289316177368164,-0.0211,0.0211
0.007928609848022461,-0.0211,0.0211
0.010715246200561523,-0.0211,0.0211
0.013330698013305664,-0.0211,0.0211
0.015895843505859375,-0.0211,0.0211
0.018924713134765625,-0.0211,0.0211
0.02149033546447754,-0.0211,0.0211
0.024051666259765625,-0.0211,0.0211
0.026645421981811523,-0.0211,0.0211
0.0291292667388916,-0.0211,0.0211
0.030168771743774414,-0.0211,0.0211
0.03170633316040039,-0.0211,0.0211
0.03276515007019043,-0.0211,0.0211
0.03382587432861328,-0.0211,0.0211
0.03487372398376465,-0.0211,0.0211
0.03591179847717285,-0.0211,0.0211
0.03700852394104004,-0.0211,0.0211
0.038114070892333984,-0.0211,0.0211
0.03918266296386719,-0.0211,0.0211
0.04024362564086914,-0.0211,0.0211
0.04137158393859863,-0.0211,0.0211
0.042574405670166016,-0.0211,0.0211
0.04369544982910156,-0.0211,0.0211
0.044870853424072266,-0.0211,0.0211
0.045928239822387695,-0.0211,0.0211
0.04719233512878418,-0.0211,0.0211
0.04829764366149902,-0.0211,0.0211
0.04941916465759277,-0.0211,0.0211
0.05055093765258789,-0.0211,0.0211
0.051598548889160156,-0.0211,0.0211
0.05278611183166504,-0.0211,0.0211
0.05390119552612305,-0.0211,0.0211
0.05504035949707031,-0.0211,0.0211
0.05611729621887207,-0.0211,0.0211
0.05735898017883301,-0.0211,0.0211
0.05845808982849121,-0.0211,0.0211
0.05957746505737305,-0.0211,0.0211
0.060764312744140625,-0.0211,0.0211
0.06185483932495117,-0.0211,0.0211
0.06296467781066895,-0.0211,0.0211
0.06398344039916992,-0.0211,0.0211
0.06499671936035156,-0.0211,0.0211
0.06601119041442871,-0.0211,0.0211
0.06702661514282227,-0.0211,0.0211
0.06813430786132812,-0.0211,0.0211
0.06915020942687988,-0.0211,0.0211
0.07016634941101074,-0.0211,0.0211
0.07118058204650879,-0.0211,0.0211
0.07219552993774414,-0.0211,0.0211
0.07321023941040039,-0.0211,0.0211
0.07422375679016113,-0.0211,0.0211
0.07523775100708008,-0.0211,0.0211
0.07625460624694824,-0.0211,0.0211
0.07728290557861328,-0.0211,0.0211
0.07829833030700684,-0.0211,0.0211
0.07931113243103027,-0.0211,0.0211
0.08032488822937012,-0.0211,0.0211
0.08133864402770996,-0.0211,0.0211
0.0823671817779541,-0.0211,0.0211
0.08340954780578613,-0.0211,0.0211
0.08443617820739746,-0.0211,0.0211
0.0854489803314209,-0.0211,0.0211
0.08646464347839355,-0.0211,0.0211
0.08750605583190918,-0.0211,0.0211
0.08852434158325195,-0.0211,0.0211
0.0895395278930664,-0.0211,0.0211
0.09312915802001953,-0.1621,0.1621
0.10914206504821777,-0.1621,0.1621
0.1250629425048828,-0.3929,0.3884
0.14104390144348145,-0.3929,0.3884
0.15701603889465332,-0.7173,0.6916
0.17298650741577148,-0.7173,0.6916
0.18898844718933105,-1.1064,1.0679
0.20498156547546387,-1.1064,1.0679
0.2209148406982422,-1.5461,1.491
0.23689579963684082,-1.5461,1.491
0.25288820266723633,-1.8839,1.8032
0.2689990997314453,-2.1532,2.0551
0.28484153747558594,-2.1532,2.0551
0.3007984161376953,-2.35,2.2602
0.31685519218444824,-2.35,2.2602
0.33276891708374023,-2.4993,2.4057
0.348752498626709,-2.4993,2.4057
0.3647122383117676,-2.6064,2.5166
0.3806731700897217,-2.6064,2.5166
0.39664769172668457,-2.6833,2.6064
0.41263747215270996,-2.6833,2.6064
0.4286043643951416,-2.7519,2.6788
0.44457507133483887,-2.7519,2.6788
0.46053338050842285,-2.8032,2.7301
0.47651219367980957,-2.8032,2.7301
0.4924736022949219,-2.8371,2.7685
0.5085940361022949,-2.8711,2.7987
0.5244317054748535,-2.8711,2.7987
0.5404200553894043,-2.8929,2.8243
0.5563676357269287,-2.8929,2.8243
0.5723459720611572,-2.9057,2.8371
0.5883228778839111,-2.9057,2.8371
0.6042873859405518,-2.9224,2.8371
0.6202826499938965,-2.9224,2.8371
0.6362369060516357,-2.9352,2.8371
0.6522097587585449,-2.9352,2.8371
0.6681733131408691,-2.9397,2.8371
0.6841349601745605,-2.9397,2.8371
0.7001175880432129,-2.948,2.8326
0.7161002159118652,-2.948,2.8326
0.7320835590362549,-2.957,2.8371
0.749340295791626,-2.9525,2.85
0.7651948928833008,-2.9525,2.85
0.7811760902404785,-2.9525,2.8583
0.7972042560577393,-2.9525,2.8583
0.8131515979766846,-2.9608,2.8628
