t(s),a,v,l,r
0.0016734600067138672,0.0,0.0,0.0,0.0
0.003265857696533203,0.0,0.0,0.0,0.0
0.005598545074462891,0.0,0.0,0.0,0.0
0.007206916809082031,0.0,0.0,0.0,0.0
0.008638858795166016,0.0,0.0,0.0,0.0
0.010062932968139648,0.0,0.0,0.0,0.0
0.01148366928100586,0.0,0.0,0.0,0.0
0.01290440559387207,0.0,0.0,0.0,0.0
0.014326333999633789,0.0,0.0,0.0,0.0
0.01577281951904297,0.0,0.0,0.0,0.0
0.01719355583190918,0.0,0.0,0.0,0.0
0.0186154842376709,0.0,0.0,0.0,0.0
0.020032644271850586,0.0,0.0,0.0,0.0
0.021455764770507812,0.0,0.0,0.0,0.0
0.022885560989379883,0.0,0.0,0.0,0.0
0.024306297302246094,0.0,0.0,0.0,0.0
0.025746822357177734,0.0,0.0,0.0,0.0
0.02719736099243164,0.0,0.0,0.0,0.0
0.028628110885620117,0.0,0.0,0.0,0.0
0.03005838394165039,0.0,0.0,0.0,0.0
0.03149247169494629,0.0,0.0,0.0,0.0
0.03291916847229004,0.0,0.0,0.0,0.0
0.03434181213378906,0.0,0.0,0.0,0.0
0.035831451416015625,0.0,0.0,0.0,0.0
0.03725314140319824,0.0,0.0,0.0,0.0
0.03867316246032715,0.0,0.0,0.0,0.0
0.04009199142456055,0.0,0.0,0.0,0.0
0.04151153564453125,0.0,0.0,0.0,0.0
0.04293394088745117,0.0,0.0,0.0,0.0
0.04435610771179199,0.0,0.0,0.0,0.0
0.04579567909240723,0.0,0.0,0.0,0.0
0.047217369079589844,0.0,0.0,0.0,0.0
0.04863858222961426,0.0,0.0,0.0,0.0
0.050057411193847656,0.0,0.0,0.0,0.0
0.05147957801818848,0.0,0.0,0.0,0.0
0.052901506423950195,0.0,0.0,0.0,0.0
0.0543212890625,0.0,0.0,0.0,0.0
0.05584597587585449,0.0,0.0,0.0,0.0
0.05726957321166992,0.0,0.0,0.0,0.0
0.05869269371032715,0.0,0.0,0.0,0.0
0.060111045837402344,0.0,0.0,0.0,0.0
0.06153416633605957,0.0,0.0,0.0,0.0
0.06295228004455566,0.0,0.0,0.0,0.0
0.06437206268310547,0.0,0.0,0.0,0.0
0.06580495834350586,0.0,0.0,0.0,0.0
0.06722354888916016,0.0,0.0,0.0,0.0
0.06864213943481445,0.0,0.0,0.0,0.0
0.07006478309631348,0.0,0.0,0.0,0.0
0.07148504257202148,0.0,0.0,0.0,0.0
0.07290458679199219,0.0,0.0,0.0,0.0
0.07432746887207031,0.0,0.0,0.0,0.0
0.0757603645324707,0.0,0.0,0.0,0.0
0.0771796703338623,0.0,0.0,0.0,0.0
0.07860350608825684,0.0,0.0,0.0,0.0
0.08002305030822754,0.0,0.0,0.0,0.0
0.08144092559814453,0.0,0.0,0.0,0.0
0.08286404609680176,0.0,0.0,0.0,0.0
0.08428525924682617,0.0,0.0,0.0,0.0
0.08573079109191895,0.0,0.0,0.0,0.0
0.0871591567993164,0.0,0.0,0.0,0.0
0.0885779857635498,0.0,0.0,0.0,0.0
0.08999896049499512,0.0,0.0,0.0,0.0
0.09142732620239258,0.0,0.0,0.0,0.0
0.09285092353820801,0.0,0.5,0.0,0.0
0.09427309036254883,0.0,0.5,0.0,0.0
0.09572625160217285,0.0,0.5,0.0,0.0
0.0971524715423584,0.0,0.5,0.0,0.0
0.09857749938964844,0.0,0.5,0.0,0.0
0.10748600959777832,0.0,0.5,0.0,0.0
0.12343883514404297,0.0,0.5,0.0,0.0
0.13942599296569824,0.0,0.5,0.0,0.0
0.15543651580810547,0.0,0.5,0.0,0.0
0.17137408256530762,0.0,0.5,0.0,0.0
0.1873164176940918,0.0,0.5,-0.0038,0.0083
0.20333242416381836,0.0,0.5,-0.0038,0.0083
0.21932244300842285,0.0,0.5,-0.0038,0.0083
0.23534250259399414,0.0,0.5,-0.0038,0.0083
0.2512214183807373,0.0,0.5,-0.0038,0.0083
0.26718997955322266,0.0,0.5,-0.0038,0.0083
0.2831401824951172,0.0,0.5,-0.0083,0.0121
0.29911231994628906,0.0,0.5,-0.0121,0.0166
0.31510376930236816,0.0,0.5,-0.0121,0.0166
0.3310246467590332,0.0,0.5,-0.0166,0.0211
0.3469977378845215,0.0,0.5,-0.0166,0.0211
0.36295151710510254,0.0,0.5,-0.0378,0.0423
0.37892770767211914,0.0,0.5,-0.0378,0.0423
0.3949146270751953,0.0,0.5,-0.0634,0.0762
0.41088294982910156,0.0,0.5,-0.0634,0.0762
0.42682790756225586,0.0,0.5,-0.098,0.1108
0.442779541015625,0.0,0.5,-0.098,0.1108
0.4587383270263672,0.0,0.5,-0.1365,0.1532
0.47474098205566406,0.0,0.5,-0.1365,0.1532
0.49073052406311035,0.0,0.5,-0.1833,0.1916
0.5066587924957275,0.0,0.5,-0.1833,0.1916
0.5225930213928223,0.0,0.5,-0.2173,0.2301
0.5386545658111572,0.0,0.5,-0.2602,0.2602
0.5545032024383545,0.0,0.5,-0.2602,0.2602
0.5704729557037354,0.0,0.5,-0.3032,0.2987
0.5864298343658447,0.0,0.5,-0.3032,0.2987
0.6024034023284912,0.0,0.5,-0.3416,0.3326
0.6183726787567139,0.0,0.5,-0.3416,0.3326
0.6343519687652588,0.0,0.5,-0.3801,0.3756
0.6502971649169922,0.0,0.5,-0.3801,0.3756
